(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B0GW84YM4L,B001GNBVTY,"Max Factor Lasting Performance Liquid Foundation, Fair, Full Coverage, Flawless and Radiant Finish, Lightweight Formula, Smudge Resistant, Non Pore-Clogging, Fragrance Free, 35ml","1,152",7,789,6,"1,941",13,0.07%,0.08%,0.11%,0.08%,0.09%,0.08%,"1,650",10,"1,164",8,"2,814",18,0.08%,0.09%,0.12%,0.08%,0.09%,0.08%,12.69%,0.00%,81,0,4.17%,0.00%,£681.00,£0.00,65,0,0,0,0.00%,0.00%,£667.49,£0.00,96,0,81,0
B08PQZYLY9,B077L6W662,"Bourjois Little Round Pot Blusher 74 Rose Ambre, 2.5g",801,4,449,11,"1,250",15,0.05%,0.05%,0.06%,0.15%,0.05%,0.09%,"1,109",5,644,19,"1,753",24,0.05%,0.04%,0.07%,0.19%,0.06%,0.11%,40.84%,83.33%,68,1,5.44%,6.67%,£518.01,£6.82,65,1,0,0,0.00%,0.00%,£439.24,£0.00,69,0,66,0
B0H4YF8BP1,B004LXONEQ,"Rimmel Soft Kohl Kajal Professional Eyeliner Pencil, Intense Long-Lasting Colour, Up to 12 Hours Wear, Smudge Proof, 1.2 grams,","1,393",9,810,8,"2,203",17,0.09%,0.11%,0.11%,0.11%,0.10%,0.11%,"1,801",22,"1,107",12,"2,908",34,0.09%,0.20%,0.12%,0.12%,0.10%,0.16%,8.10%,28.57%,72,0,3.27%,0.00%,£216.78,£0.00,64,0,1,0,1.39%,0.00%,£181.77,£0.00,73,0,67,0
B08R4Y54Z5,B07C595KFT,Rimmel London Brow This Way Fill & Sculpt Eyebrow Definer,"1,384",9,560,8,"1,944",17,0.09%,0.11%,0.08%,0.11%,0.09%,0.11%,"1,756",13,693,9,"2,449",22,0.09%,0.12%,0.07%,0.09%,0.08%,0.10%,6.51%,33.33%,76,2,3.91%,11.76%,£374.66,£9.96,63,1,1,0,1.32%,0.00%,£229.52,£8.30,56,2,48,1
B08HQQX815,B001NJ179U,"Max Factor Pan Stik Foundation, 60 Deep Olive",534,2,336,2,870,4,0.03%,0.02%,0.05%,0.03%,0.04%,0.03%,626,2,441,2,"1,067",4,0.03%,0.02%,0.05%,0.02%,0.04%,0.02%,75.45%,100.00%,90,0,10.34%,0.00%,£515.55,£0.00,61,0,0,0,0.00%,0.00%,£424.05,£0.00,89,0,64,0
B0C27F5YNK,B077L45Y1V,"Bourjois Little Round Pot Blusher 15 Rose Eclat, 2.5g",874,6,410,6,"1,284",12,0.06%,0.07%,0.06%,0.08%,0.06%,0.08%,"1,042",9,578,9,"1,620",18,0.05%,0.08%,0.06%,0.09%,0.05%,0.08%,52.40%,100.00%,61,0,4.75%,0.00%,£453.42,£0.00,61,0,1,0,1.64%,0.00%,£353.50,£0.00,57,0,57,0
B0C5CNDJZS,B0931PB2TS,"Rimmel London Lasting Finish Exaggerate Lip Liners, 018 Rose Addiction, 4g",458,0,265,4,723,4,0.03%,0.00%,0.04%,0.05%,0.03%,0.03%,629,0,375,6,"1,004",6,0.03%,0.00%,0.04%,0.06%,0.03%,0.03%,23.96%,50.00%,81,2,11.20%,50.00%,£425.62,£10.48,60,2,0,0,0.00%,0.00%,£353.97,£8.74,81,2,66,2
B0GW84YM4L,B008BEQFAQ,"Max Factor Lasting Performance Liquid Foundation, Ivory Beige, Full Coverage, Flawless and Radiant Finish, Lightweight Formula, Smudge Resistant, Non Pore-Clogging, Fragrance Free, 35ml","2,224",8,"1,109",9,"3,333",17,0.14%,0.09%,0.15%,0.12%,0.15%,0.11%,"3,489",10,"1,786",14,"5,275",24,0.17%,0.09%,0.19%,0.14%,0.18%,0.11%,7.33%,18.18%,61,0,1.83%,0.00%,£542.39,£0.00,58,0,0,0,0.00%,0.00%,£452.09,£0.00,61,0,59,0
B0BXWHBJ7Q,B001EYGCZS,RefectoCil Cream Hair Dye - 4 Chestnut 15ml,701,4,386,1,"1,087",5,0.05%,0.05%,0.05%,0.01%,0.05%,0.03%,866,5,502,4,"1,368",9,0.04%,0.04%,0.05%,0.04%,0.05%,0.04%,25.68%,0.00%,57,0,5.24%,0.00%,£366.50,£0.00,54,0,0,0,0.00%,0.00%,£300.89,£0.00,56,0,53,0
B0BXS352Y4,B01N0VM6TA,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,477,3,254,3,731,6,0.03%,0.04%,0.03%,0.04%,0.03%,0.04%,676,3,338,3,"1,014",6,0.03%,0.03%,0.04%,0.03%,0.03%,0.03%,32.45%,100.00%,137,0,18.74%,0.00%,£411.83,£0.00,50,0,0,0,0.00%,0.00%,£337.77,£0.00,134,0,51,0
B0H4F2L52Y,B0046U6RKC,"Rimmel Stay Matte Pressed Powder, Warm Beige, 14g","3,853",18,"1,500",15,"5,353",33,0.25%,0.21%,0.21%,0.20%,0.23%,0.21%,"4,740",22,"1,865",19,"6,605",41,0.23%,0.20%,0.20%,0.19%,0.22%,0.19%,2.23%,6.67%,50,0,0.93%,0.00%,£199.22,£0.00,48,0,1,0,2.00%,0.00%,£186.34,£0.00,56,0,54,0
B0BXS352Y4,B01LJZCDJA,Marion Hair Color Shampoo in Sachet Lasting 4-8 Washes - 91 - Copper,506,0,230,0,736,0,0.03%,0.00%,0.03%,0.00%,0.03%,0.00%,684,0,307,0,991,0,0.03%,0.00%,0.03%,0.00%,0.03%,0.00%,33.19%,0.00%,106,0,14.40%,0.00%,£319.19,£0.00,47,0,0,0,0.00%,0.00%,£275.57,£0.00,110,0,53,0
B0C1P8JC3X,B00YY7VWUW,"Max Factor Crème Puff Blusher, Nude Mauve 1","1,545",6,656,2,"2,201",8,0.10%,0.07%,0.09%,0.03%,0.10%,0.05%,"1,965",7,886,2,"2,851",9,0.10%,0.06%,0.09%,0.02%,0.10%,0.04%,11.89%,0.00%,50,0,2.27%,0.00%,£374.50,£0.00,46,0,2,0,4.00%,0.00%,£312.00,£0.00,50,0,48,0
B0HG289WZF,B0046MLZLG,"Sally Hansen Advanced Hard as Nails Strengthener, 13.3ml (Pack of 1)","3,543",19,"1,613",21,"5,156",40,0.23%,0.22%,0.22%,0.29%,0.23%,0.25%,"4,842",27,"2,246",26,"7,088",53,0.24%,0.24%,0.24%,0.26%,0.24%,0.25%,3.43%,14.71%,50,0,0.97%,0.00%,£222.34,£0.00,45,0,0,0,0.00%,0.00%,£159.83,£0.00,43,0,38,0
B00ARNR3CS,B005R8GZT0,"Max Factor Kohl Eye Pencil, 3 Brown",657,2,325,1,982,3,0.04%,0.02%,0.04%,0.01%,0.04%,0.02%,841,4,460,1,"1,301",5,0.04%,0.04%,0.05%,0.01%,0.04%,0.02%,10.38%,0.00%,46,0,4.68%,0.00%,£156.89,£0.00,45,0,0,0,0.00%,0.00%,£136.27,£0.00,48,0,46,0
B08PQZYLY9,B077L5MVZ3,"Bourjois Little Round Pot Blusher 33 Lilas D'or, 2.5g, 29192115033",326,1,210,1,536,2,0.02%,0.01%,0.03%,0.01%,0.02%,0.01%,407,1,277,2,684,3,0.02%,0.01%,0.03%,0.02%,0.02%,0.01%,46.69%,0.00%,47,0,8.77%,0.00%,£455.69,£0.00,44,0,0,0,0.00%,0.00%,£354.59,£0.00,44,0,41,0
B0FYHMFVRG,B00005OM2L,Max Factor Lip Finity (New shades) Ethereal,"1,416",11,603,12,"2,019",23,0.09%,0.13%,0.08%,0.16%,0.09%,0.14%,"1,721",14,749,19,"2,470",33,0.08%,0.13%,0.08%,0.19%,0.08%,0.15%,17.57%,10.00%,43,0,2.13%,0.00%,£372.36,£0.00,43,0,0,0,0.00%,0.00%,£324.59,£0.00,45,0,44,0
B00ARNR3CS,B001IZYQQU,"Max Factor Kohl Pencil Eyeliner, 20 Black, Easy to Blend Formula, Perfect for Smokey Eyes Make-up, 4 g","1,347",7,599,10,"1,946",17,0.09%,0.08%,0.08%,0.14%,0.09%,0.11%,"1,805",11,759,11,"2,564",22,0.09%,0.10%,0.08%,0.11%,0.09%,0.10%,4.87%,0.00%,52,0,2.67%,0.00%,£197.43,£0.00,43,0,1,0,1.92%,0.00%,£164.58,£0.00,52,0,49,0
B0C78LF8NV,B0BKZY6YWT,ARMAF Club De Nuit Urban Man ELIXIR Eau De Parfum 105ml,"1,139",15,420,7,"1,559",22,0.07%,0.18%,0.06%,0.10%,0.07%,0.14%,"1,557",16,608,10,"2,165",26,0.08%,0.14%,0.06%,0.10%,0.07%,0.12%,21.50%,0.00%,43,0,2.76%,0.00%,"£1,418.57",£0.00,42,0,3,0,6.98%,0.00%,"£1,220.56",£0.00,44,0,43,0
B0BXS352Y4,B00PWKV8Q8,Marion Hair Color Shampoo in Sachet Lasting 4-8 Washes - 51 - Light Pearl Blonde,780,7,462,1,"1,242",8,0.05%,0.08%,0.06%,0.01%,0.05%,0.05%,"1,082",8,680,1,"1,762",9,0.05%,0.07%,0.07%,0.01%,0.06%,0.04%,23.94%,75.00%,49,0,3.95%,0.00%,£159.59,£0.00,40,0,0,0,0.00%,0.00%,£118.86,£0.00,44,0,35,0
B0CLGFGP6D,B00ILUYEEO,"Sally Hansen Instant Cuticle Remover, 29.5 ml",203,0,139,0,342,0,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,290,0,200,0,490,0,0.01%,0.00%,0.02%,0.00%,0.02%,0.00%,83.08%,0.00%,39,0,11.40%,0.00%,£223.18,£0.00,38,0,0,0,0.00%,0.00%,£181.47,£0.00,38,0,37,0
B0BXS352Y4,B01LJSP1RI,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,411,1,226,4,637,5,0.03%,0.01%,0.03%,0.05%,0.03%,0.03%,513,1,299,5,812,6,0.03%,0.01%,0.03%,0.05%,0.03%,0.03%,37.19%,0.00%,55,1,8.63%,20.00%,£169.18,£2.98,38,1,0,0,0.00%,0.00%,£140.72,£2.48,55,1,38,1
B0BXS352Y4,B01MYN910S,Marion Hair Color Shampoo in Sachet - Lasting 4-8 Washes - With Aloe & Keratin 63 Chocolate Brown,959,3,500,6,"1,459",9,0.06%,0.04%,0.07%,0.08%,0.06%,0.06%,"1,456",3,768,14,"2,224",17,0.07%,0.03%,0.08%,0.14%,0.07%,0.08%,20.22%,0.00%,86,0,5.89%,0.00%,£255.98,£0.00,36,0,0,0,0.00%,0.00%,£204.75,£0.00,82,0,34,0
B00H56KCUU,B00H56KCUU,"Maybelline Baby Skin Primer, Instant Pore Eraser Lightweight Blurring","3,369",16,"1,444",18,"4,813",34,0.22%,0.19%,0.20%,0.25%,0.21%,0.21%,"4,588",20,"1,844",23,"6,432",43,0.23%,0.18%,0.19%,0.23%,0.22%,0.20%,1.35%,0.00%,36,0,0.75%,0.00%,£256.23,£0.00,35,0,0,0,0.00%,0.00%,£206.77,£0.00,35,0,34,0
B0049AULWO,B0049AULWO,Technic Clear Lip Gloss,112,2,62,1,174,3,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,151,2,77,1,228,3,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,62.25%,0.00%,39,0,22.41%,0.00%,£117.21,£0.00,34,0,0,0,0.00%,0.00%,£97.68,£0.00,39,0,35,0
B00FX0J0KS,B00FX0J0KS,RefectoCil Oxidant 3% Cream 100ml,74,0,26,0,100,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99,0,38,0,137,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42.98%,0.00%,34,0,34.00%,0.00%,£268.46,£0.00,34,0,2,0,5.88%,0.00%,£243.35,£0.00,37,0,37,0
B077ZH369G,B077ZH369G,Sally Hansen Instant Cuticle Remover 1 Ounce (29.5ml),454,5,255,1,709,6,0.03%,0.06%,0.04%,0.01%,0.03%,0.04%,588,5,353,1,941,6,0.03%,0.04%,0.04%,0.01%,0.03%,0.03%,18.00%,100.00%,33,0,4.65%,0.00%,£178.96,£0.00,33,0,0,0,0.00%,0.00%,£149.09,£0.00,33,0,33,0
B0H4YCPBRN,B08CFPF8TF,"Rimmel Lasting Finish 8HR Lip Liner, Bitten Red, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","2,371",14,"1,079",9,"3,450",23,0.15%,0.16%,0.15%,0.12%,0.15%,0.14%,"2,910",17,"1,374",10,"4,284",27,0.14%,0.15%,0.14%,0.10%,0.14%,0.13%,6.94%,6.67%,32,1,0.93%,4.35%,£116.02,£3.59,32,1,2,0,6.25%,0.00%,£96.62,£2.99,32,1,32,1
B01M0M1D7R,B09N2YKP5B,"Max Factor Crème Puff Pressed Powder, 55 Candle Glow, 14g",165,0,117,1,282,1,0.01%,0.00%,0.02%,0.01%,0.01%,0.01%,217,0,167,1,384,1,0.01%,0.00%,0.02%,0.01%,0.01%,0.00%,24.59%,0.00%,37,0,13.12%,0.00%,£219.92,£0.00,32,0,0,0,0.00%,0.00%,£212.84,£0.00,43,0,38,0
B0BXS352Y4,B00PWKVAYI,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,430,2,249,4,679,6,0.03%,0.02%,0.03%,0.05%,0.03%,0.04%,569,2,346,5,915,7,0.03%,0.02%,0.04%,0.05%,0.03%,0.03%,38.64%,66.67%,61,0,8.98%,0.00%,£182.70,£0.00,31,0,0,0,0.00%,0.00%,£154.15,£0.00,61,0,31,0
B0C27F5YNK,B077L5PJDH,"Bourjois Little Round Pot Blusher 34 Rose D'or, 2.5g, 29192115034","1,539",8,681,3,"2,220",11,0.10%,0.09%,0.09%,0.04%,0.10%,0.07%,"2,219",14,"1,020",5,"3,239",19,0.11%,0.13%,0.11%,0.05%,0.11%,0.09%,4.97%,33.33%,33,0,1.49%,0.00%,£246.35,£0.00,31,0,0,0,0.00%,0.00%,£192.76,£0.00,31,0,29,0
B0BXS352Y4,B06Y1VYKXB,Marion Hair Color Shampoo in Sachet Lasting 4-8 Washes - 96 – Mahogany,294,0,164,1,458,1,0.02%,0.00%,0.02%,0.01%,0.02%,0.01%,382,0,213,1,595,1,0.02%,0.00%,0.02%,0.01%,0.02%,0.00%,50.61%,0.00%,50,0,10.92%,0.00%,£151.95,£0.00,30,0,0,0,0.00%,0.00%,£136.86,£0.00,54,0,34,0
B0H4YCPBRN,B08CFMTMKF,"Rimmel Lasting Finish 8HR Lip Liner, Red Dynamite, Highly Pigmented Formula, Long-Wearing Creamy Colour, Precise Application and Seamless Blend, For Big & Plump Lips, Vegan & Cruelty Free, 1.2g","1,626",6,596,7,"2,222",13,0.10%,0.07%,0.08%,0.10%,0.10%,0.08%,"1,853",6,713,12,"2,566",18,0.09%,0.05%,0.07%,0.12%,0.09%,0.08%,14.96%,0.00%,31,0,1.40%,0.00%,£119.57,£0.00,30,0,0,0,0.00%,0.00%,£96.37,£0.00,30,0,30,0
B01M065MO6,B00O32U4YI,"Bourjois Volume Glamour Effet Push Up Volumizing and Curling Mascara 71 Noir, 7ml, 370712",107,1,57,0,164,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,135,1,79,0,214,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,39.70%,0.00%,31,0,18.90%,0.00%,£223.68,£0.00,29,0,0,0,0.00%,0.00%,£197.76,£0.00,33,0,31,0
B0H3P69D99,B00UYJDB0S,"Rimmel London Lip Gloss, Crystal Clear, 6.5 ml (Pack of 1)",807,6,413,5,"1,220",11,0.05%,0.07%,0.06%,0.07%,0.05%,0.07%,997,7,525,7,"1,522",14,0.05%,0.06%,0.06%,0.07%,0.05%,0.07%,7.79%,0.00%,31,0,2.54%,0.00%,£179.00,£0.00,29,0,0,0,0.00%,0.00%,£149.23,£0.00,31,0,31,0
B0H6R42TK5,B01BNK0W62,"Rimmel Super Gel, 012 Soul Session, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml",794,4,233,1,"1,027",5,0.05%,0.05%,0.03%,0.01%,0.04%,0.03%,975,6,297,1,"1,272",7,0.05%,0.05%,0.03%,0.01%,0.04%,0.03%,23.19%,0.00%,29,0,2.82%,0.00%,£158.82,£0.00,28,0,1,0,3.45%,0.00%,£154.48,£0.00,34,0,33,0
B094MYZTFM,B08159FKYW,"Rimmel London Scandaleyes Volume On Demand Buildable Mascara, Black, 12 ml",317,1,206,1,523,2,0.02%,0.01%,0.03%,0.01%,0.02%,0.01%,393,1,285,2,678,3,0.02%,0.01%,0.03%,0.02%,0.02%,0.01%,12.89%,0.00%,31,0,5.93%,0.00%,£151.30,£0.00,28,0,1,0,3.23%,0.00%,£143.76,£0.00,35,0,31,0
B08RFX7ZJC,B082XSFWSJ,"BOURJOIS 29135443011 Beauty Care Little Round Pot Eye Rg Rlaunc 2.5ml 11 20IV for Adults, Designed for Daily Beauty and Care, 2.5ml",347,0,182,4,529,4,0.02%,0.00%,0.03%,0.05%,0.02%,0.03%,417,0,234,6,651,6,0.02%,0.00%,0.02%,0.06%,0.02%,0.03%,97.69%,100.00%,32,0,6.05%,0.00%,£232.00,£0.00,28,0,0,0,0.00%,0.00%,£193.28,£0.00,32,0,28,0
B08RFX7ZJC,B082XSPCFB,"BOURJOIS 29135443003 Beauty Care Little Round Pot Eye Rg Rlaunch 2.5ml 3 20IV for Adults, Designed for Daily Beauty and Care, 2.5ml",666,2,408,6,"1,074",8,0.04%,0.02%,0.06%,0.08%,0.05%,0.05%,909,2,574,12,"1,483",14,0.04%,0.02%,0.06%,0.12%,0.05%,0.07%,26.68%,0.00%,28,0,2.61%,0.00%,£205.05,£0.00,28,0,0,0,0.00%,0.00%,£164.73,£0.00,27,0,27,0
B0G3PQLBZ3,B09FY6WT25,"Rimmel Kind + Free Natural Finish Pressed Powder, Translucent 001",490,2,273,5,763,7,0.03%,0.02%,0.04%,0.07%,0.03%,0.04%,603,3,362,6,965,9,0.03%,0.03%,0.04%,0.06%,0.03%,0.04%,9.76%,20.00%,28,0,3.67%,0.00%,£134.07,£0.00,27,0,0,0,0.00%,0.00%,£139.47,£0.00,35,0,34,0
B0H6R42TK5,B01BNK0VIG,"Rimmel Super Gel, Top Coat, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml","1,233",9,512,7,"1,745",16,0.08%,0.11%,0.07%,0.10%,0.08%,0.10%,"1,616",10,658,9,"2,274",19,0.08%,0.09%,0.07%,0.09%,0.08%,0.09%,6.69%,0.00%,25,0,1.43%,0.00%,£144.70,£0.00,25,0,0,0,0.00%,0.00%,£122.02,£0.00,25,0,25,0
B072Q5SKYW,B002O6QEJO,"Bourjois Little Round Pot Blusher Blusher 95, Rose De Jaspe",72,0,39,1,111,1,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,99,0,47,1,146,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,97.84%,0.00%,26,0,23.42%,0.00%,£246.74,£0.00,24,0,0,0,0.00%,0.00%,£197.75,£0.00,25,0,24,0
B0H143TBQW,B0046MK34G,"Sally Hansen Instant Cuticle Remover, 29.5ml","11,622",63,"5,001",39,"16,623",102,0.75%,0.74%,0.69%,0.53%,0.73%,0.64%,"15,360",84,"6,525",60,"21,885",144,0.76%,0.75%,0.69%,0.59%,0.73%,0.68%,0.75%,4.17%,25,0,0.15%,0.00%,£129.70,£0.00,24,0,0,0,0.00%,0.00%,£110.05,£0.00,25,0,24,0
B07814CT31,B005OR5FX6,Technic Lipstick with added Vitamin E - Pink Lady,98,0,69,1,167,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,120,0,103,1,223,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.00%,35.47%,0.00%,34,0,20.36%,0.00%,£113.90,£0.00,24,0,0,0,0.00%,0.00%,£94.86,£0.00,34,0,24,0
B0GKQWXV3B,B01F90M724,"Bourjois Volume Reveal Volumizing Mascara 23 Waterproof Black, 7.5ml",121,1,45,0,166,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.01%,156,1,57,0,213,1,0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,17.28%,0.00%,30,0,18.07%,0.00%,£275.94,£0.00,24,0,0,0,0.00%,0.00%,£225.88,£0.00,29,0,23,0
B0CLLXYFVX,B07HR4LN4P,L.A. Girl Pro Coneal HD. High Definiton Pro Concealer 0.28 Oz 967 Reddish Corrector,598,6,226,2,824,8,0.04%,0.07%,0.03%,0.03%,0.04%,0.05%,779,8,287,3,"1,066",11,0.04%,0.07%,0.03%,0.03%,0.04%,0.05%,17.30%,50.00%,26,0,3.16%,0.00%,£155.74,£0.00,24,0,1,0,3.85%,0.00%,£134.73,£0.00,27,0,25,0
B0DQP3ZNY6,B0DQP3ZNY6,ARMAF Infinity Silver for Men Eau De Parfum 100ml,214,6,107,0,321,6,0.01%,0.07%,0.01%,0.00%,0.01%,0.04%,309,7,166,0,475,7,0.02%,0.06%,0.02%,0.00%,0.02%,0.03%,73.29%,50.00%,26,1,8.10%,16.67%,"£1,081.65",£42.00,24,1,1,0,3.85%,0.00%,£908.17,£35.00,26,1,24,1
B0FYHMFVRG,B00008MORG,"Max Factor Lipfinity Passionate, Long-Lasting, Two Step Lipstick, Vibrant Colour, Hydrating, Lasts 24 Hrs, Matte Lip Colour With Glossy Top Coat, 4.2g","1,362",7,497,5,"1,859",12,0.09%,0.08%,0.07%,0.07%,0.08%,0.08%,"1,642",12,614,5,"2,256",17,0.08%,0.11%,0.06%,0.05%,0.08%,0.08%,19.07%,0.00%,25,1,1.34%,8.33%,£227.17,£8.62,23,1,0,0,0.00%,0.00%,£181.84,£7.18,24,1,22,1
B0C6FR79NN,B000W3SW1E,"Max Factor Lasting Performance Liquid Foundation, 102 Pastelle, Full Coverage, Flawless and Radiant Finish, Lightweight Formula, Smudge Resistant, Non Pore-Clogging, Fragrance Free, 35ml","1,547",7,892,4,"2,439",11,0.10%,0.08%,0.12%,0.05%,0.11%,0.07%,"1,981",9,"1,182",4,"3,163",13,0.10%,0.08%,0.12%,0.04%,0.11%,0.06%,3.17%,0.00%,25,0,1.03%,0.00%,£178.80,£0.00,23,0,0,0,0.00%,0.00%,£156.00,£0.00,26,0,24,0
B0H4F2L52Y,B008L0KC04,"RIMMEL LONDON - Stay Matte Pressed Powder - Lightweight, Oil Absorbing, Smooth Non-Powdery Texture, Lasting Up To 5hrs - For All Skin Types - Dermatologically Tested - 004 Sandstorm - 14g","2,662",13,"1,106",7,"3,768",20,0.17%,0.15%,0.15%,0.10%,0.17%,0.13%,"3,321",15,"1,376",8,"4,697",23,0.16%,0.13%,0.14%,0.08%,0.16%,0.11%,0.56%,0.00%,25,0,0.66%,0.00%,£112.59,£0.00,23,0,0,0,0.00%,0.00%,£114.51,£0.00,30,0,27,0
B08HQQX815,B00EC9P9PG,"Max Factor Pan Stik Foundation, 96 Bisque Ivory","1,064",7,522,4,"1,586",11,0.07%,0.08%,0.07%,0.05%,0.07%,0.07%,"1,314",8,654,4,"1,968",12,0.06%,0.07%,0.07%,0.04%,0.07%,0.06%,12.01%,50.00%,25,0,1.58%,0.00%,£166.60,£0.00,23,0,1,0,4.00%,0.00%,£138.79,£0.00,25,0,24,0
B0GGB6BYK1,B0047X59DE,"Rimmel Lasting Finish Lipstick 206 Pink-Key-Promise, Creamy Satin Finish, Long Lasting 8 HR Wear, Comfortable Formula, Rich Pigment","4,516",16,"2,229",10,"6,745",26,0.29%,0.19%,0.31%,0.14%,0.30%,0.16%,"5,987",18,"3,148",15,"9,135",33,0.30%,0.16%,0.33%,0.15%,0.31%,0.15%,2.24%,0.00%,23,0,0.34%,0.00%,£120.51,£0.00,22,0,0,0,0.00%,0.00%,£52.42,£0.00,12,0,12,0
B07H8T68MM,B071459JYQ,"Bourjois 2-in-1 Khôl and Contour Eyeliner and Eye Pencil 2 Ultra Black, 1.2g",149,1,128,3,277,4,0.01%,0.01%,0.02%,0.04%,0.01%,0.03%,187,1,164,4,351,5,0.01%,0.01%,0.02%,0.04%,0.01%,0.02%,13.91%,0.00%,27,0,9.75%,0.00%,£117.75,£0.00,22,0,0,0,0.00%,0.00%,£101.81,£0.00,28,0,23,0
B07LB1289Q,B07LB1289Q,Technic Matte Mega Bronze Bronzer Palette,391,4,171,4,562,8,0.03%,0.05%,0.02%,0.05%,0.02%,0.05%,510,11,234,5,744,16,0.03%,0.10%,0.02%,0.05%,0.02%,0.08%,23.32%,0.00%,22,0,3.91%,0.00%,£67.10,£0.00,22,0,0,0,0.00%,0.00%,£58.42,£0.00,23,0,23,0
B0GGCJC753,B001GNBVQC,"Max Factor Cream Puff Pressed Compact Powder, Glowing Formula for All Skin Types, 41 Medium Beige, 21 g",282,4,185,6,467,10,0.02%,0.05%,0.03%,0.08%,0.02%,0.06%,359,4,233,7,592,11,0.02%,0.04%,0.02%,0.07%,0.02%,0.05%,10.83%,14.29%,25,0,5.35%,0.00%,£161.25,£0.00,21,0,0,0,0.00%,0.00%,£134.25,£0.00,25,0,21,0
B0BXS352Y4,B00PWKVHDM,Marion Hair Dye Shampoo Bag Semi-Permanent Colour 4 to 8 Washes with Aloe and Keratin,490,2,240,6,730,8,0.03%,0.02%,0.03%,0.08%,0.03%,0.05%,713,2,305,9,"1,018",11,0.04%,0.02%,0.03%,0.09%,0.03%,0.05%,32.05%,100.00%,32,0,4.38%,0.00%,£100.75,£0.00,21,0,0,0,0.00%,0.00%,£83.90,£0.00,32,0,21,0
B0BXS352Y4,B01MTNZCXZ,Marion Hair Color Shampoo in Sachet Lasting 4 to 8 Washes Aloe and Keratin - 95 Medium Chestnut,597,4,277,2,874,6,0.04%,0.05%,0.04%,0.03%,0.04%,0.04%,813,5,403,2,"1,216",7,0.04%,0.04%,0.04%,0.02%,0.04%,0.03%,19.10%,0.00%,34,0,3.89%,0.00%,£133.27,£0.00,21,0,0,0,0.00%,0.00%,£104.25,£0.00,32,0,21,0
B0GW84YM4L,B001GNBVU8,"Max Factor Lasting Performance Liquid Foundation, 106 Natural Beige, Full Coverage, Flawless and Radiant Finish, Lightweight Formula, Smudge Resistant, Non Pore-Clogging, Fragrance Free, 35ml",206,3,127,4,333,7,0.01%,0.04%,0.02%,0.05%,0.01%,0.04%,279,6,188,6,467,12,0.01%,0.05%,0.02%,0.06%,0.02%,0.06%,18.43%,0.00%,20,0,6.01%,0.00%,£188.22,£0.00,20,0,10,0,50.00%,0.00%,£268.94,£0.00,34,0,31,0
